credit_score,monthly_income,max_rent,employment_years,prior_evictions,signed_lease
602,6424,1432,13,0,1
848,11115,3442,0,0,1
770,14170,4283,12,0,1
606,12283,2120,1,0,0
571,6985,1888,14,0,0
688,15129,5472,1,1,0
520,15733,2669,10,0,1
602,15401,5925,12,0,0
621,10600,5459,14,1,0
714,11184,4822,13,0,1
830,2691,3300,5,0,0
587,11190,3465,14,0,1
599,7417,4989,13,1,0
651,8331,2023,6,0,0
630,11948,4631,12,0,0
649,12660,5351,14,0,0
808,6822,5413,14,0,1
757,16182,1997,2,0,1
843,12878,1979,10,0,1
793,9499,4050,8,0,0
691,11508,4092,4,0,0
776,13912,3093,4,0,1
660,9782,4506,10,0,0
813,12165,4102,11,0,1
521,11778,4918,3,0,0
752,14891,1221,8,0,1
735,4374,2700,7,0,0
844,11562,2042,11,1,0
548,7263,2960,3,0,0
558,12734,4841,3,0,0
669,10964,1391,1,0,1
687,11721,1595,8,0,0
770,13910,5862,2,0,0
689,17019,5526,3,0,0
674,14761,2073,13,0,1
550,3551,3821,6,0,0
554,14725,5535,9,0,0
743,12265,1289,7,0,1
819,13882,3479,7,0,1
630,15080,1656,3,0,1
806,10038,3480,14,0,0
634,9911,5649,6,0,0
520,14489,2204,9,0,1
828,13981,5734,0,0,1
666,8820,1544,5,0,1
773,14439,3911,5,0,1
588,4605,5952,5,0,0
815,16080,3662,11,0,1
513,2807,2316,1,0,0
741,10237,1825,7,0,1
764,5859,5579,13,0,0
845,15764,3179,14,0,1
552,5676,5194,14,0,0
839,3751,2878,4,0,1
591,7866,1422,4,0,0
763,13439,1943,1,0,1
534,4017,1662,3,0,0
705,8726,2768,11,0,1
580,7805,4547,8,0,0
549,17087,2936,8,1,0
501,12070,5239,5,0,0
553,8369,5151,10,0,0
605,10539,1864,14,0,0
759,16507,2556,8,0,1
809,16830,2214,3,0,1
690,7391,3332,14,0,0
717,7492,3868,10,0,1
543,4461,2254,0,0,0
661,14997,2964,1,0,1
701,5363,5658,12,0,1
769,13348,4069,0,0,1
803,13186,2612,7,0,0
770,9103,1867,8,1,0
714,15755,4570,9,0,0
751,7067,2594,11,1,0
689,9013,1298,5,0,1
795,17735,5270,1,0,1
712,6505,1621,5,0,1
707,14255,4850,8,0,1
736,11614,5357,11,0,0
837,14924,2332,2,1,0
552,15154,2902,8,0,1
779,13651,4820,1,0,0
716,2683,4390,10,0,0
751,10255,1797,4,0,1
687,5858,1591,10,0,0
540,9115,2275,1,0,0
656,12090,3850,6,0,1
514,9297,3584,10,1,0
800,13488,2009,9,0,1
564,11228,4509,14,0,0
844,10178,4938,8,0,1
826,17637,2359,6,0,1
508,8198,2731,11,0,0
843,3773,3882,4,0,0
628,13659,1453,14,0,1
635,9153,4748,3,0,0
562,17465,4385,11,0,0
638,13741,2431,3,0,1
580,3596,3623,14,0,1
662,11997,4775,9,0,0
788,11607,5461,7,0,0
760,13773,2773,9,0,1
730,10502,4108,12,0,1
540,6747,5912,9,0,0
527,11720,2825,13,0,1
634,7814,5198,9,0,0
700,12669,5083,9,0,0
827,5854,4715,9,0,1
767,13203,4603,0,0,0
532,17972,5798,4,0,1
547,2770,5880,13,0,0
561,3686,3158,1,0,1
715,15247,5209,12,0,0
